"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","screenName","retweetCount","isRetweet","longitude","latitude"
"10244","I don’t mean any disrespect but this shit is funny AF.
#UFC257 https://t.co/1wE7jZ3s5d",FALSE,3,NA,2021-01-24 06:29:58,FALSE,NA,"1353228533724807168",NA,"SahilDicaprio1",0,FALSE,NA,NA
"10245","Coach Kavanagh on the fight #UFC257 https://t.co/gLPgxzTmWx",FALSE,6,NA,2021-01-24 06:29:58,FALSE,NA,"1353228530767843328",NA,"TalkinHands101",0,FALSE,NA,NA
"10246","Welp....#UFC257",FALSE,0,NA,2021-01-24 06:29:57,FALSE,NA,"1353228528343527424",NA,"AKidNamedZay",0,FALSE,NA,NA
"10247","Win or loose. We still love you @TheNotoriousMMA #UFC257 https://t.co/zRrOFZb4bN",FALSE,15,NA,2021-01-24 06:29:57,FALSE,NA,"1353228528301400065",NA,"huzaifaarshad88",2,FALSE,NA,NA
"10248","@ufc fishy stuff going on.. story line becoming toooo important to the survival of the sport.. @danawhite ??? Explain .... #UFC257",FALSE,0,"ufc",2021-01-24 06:29:55,FALSE,NA,"1353228521074790402","6446742","24_7SportsCards",0,FALSE,NA,NA
"10249","Poirer has a better Record than Khabib just saying #UFC257",FALSE,0,NA,2021-01-24 06:29:55,FALSE,NA,"1353228519711645697",NA,"The6Role",0,FALSE,NA,NA
"10250","Poirier when he remembers how many leg kicks he landed before taking Mcgregor's lunch money.  #UFC257 https://t.co/QEjlU6LH2C",FALSE,1,NA,2021-01-24 06:29:54,FALSE,NA,"1353228515882233859",NA,"kobathedead",0,FALSE,NA,NA
"10251","#PaidInFull <U+0001F48E><U+0001F451> @DustinPoirier #UFC257 https://t.co/nMB6cUr5Xa",FALSE,4,NA,2021-01-24 06:29:54,FALSE,NA,"1353228515529863168",NA,"305MMA_",0,FALSE,NA,NA
"10252","2/3 Paldies Khabib par visu, bet man personigi revanša cinas ar vina dalibu nesaista, vinš visu pieradija un ar godu aizgaja! #UFC257",FALSE,0,NA,2021-01-24 06:29:53,FALSE,NA,"1353228510916206592",NA,"OZ__26",0,FALSE,NA,NA
"10253","RIZIN<U+3082>UFC<U+3067><U+3082><U+30AB>—<U+30D5><U+30AD><U+30C3><U+30AF><U+304C><U+8A71><U+984C><U+3092><U+3055><U+3089><U+3063><U+305F><U+306E><U+304B> #UFC257",FALSE,0,NA,2021-01-24 06:29:52,FALSE,NA,"1353228507300564994",NA,"Tocyuki",0,FALSE,NA,NA
